Symbol,Date,Value
94a4157616804ae51743754974,2024-12-24 01:00:00,0.651
94a4157616804ae51743754974,2024-12-24 02:00:00,0.668
94a4157616804ae51743754974,2024-12-24 03:00:00,0.295
94a4157616804ae51743754974,2024-12-24 04:00:00,0.226
94a4157616804ae51743754974,2024-12-24 05:00:00,0.154
94a4157616804ae51743754974,2024-12-24 06:00:00,0.155
94a4157616804ae51743754974,2024-12-24 07:00:00,0.232
94a4157616804ae51743754974,2024-12-24 08:00:00,0.213
94a4157616804ae51743754974,2024-12-24 09:00:00,0.133
94a4157616804ae51743754974,2024-12-24 10:00:00,0.254
94a4157616804ae51743754974,2024-12-24 11:00:00,0.4
94a4157616804ae51743754974,2024-12-24 12:00:00,0.221
94a4157616804ae51743754974,2024-12-24 13:00:00,0.139
94a4157616804ae51743754974,2024-12-24 14:00:00,0.234
94a4157616804ae51743754974,2024-12-24 15:00:00,0.238
94a4157616804ae51743754974,2024-12-24 16:00:00,0.399
94a4157616804ae51743754974,2024-12-24 17:00:00,0.42
94a4157616804ae51743754974,2024-12-24 18:00:00,0.435
94a4157616804ae51743754974,2024-12-24 19:00:00,0.255
94a4157616804ae51743754974,2024-12-24 20:00:00,0.415
94a4157616804ae51743754974,2024-12-24 21:00:00,0.342
94a4157616804ae51743754974,2024-12-24 22:00:00,0.293
94a4157616804ae51743754974,2024-12-24 23:00:00,0.201
db411f5ca692321d1743780294,2024-12-24 00:00:00,1.895
db411f5ca692321d1743780294,2024-12-24 01:00:00,2.313
db411f5ca692321d1743780294,2024-12-24 02:00:00,1.733
db411f5ca692321d1743780294,2024-12-24 03:00:00,1.814
db411f5ca692321d1743780294,2024-12-24 04:00:00,1.866
db411f5ca692321d1743780294,2024-12-24 05:00:00,1.5
db411f5ca692321d1743780294,2024-12-24 06:00:00,1.266
db411f5ca692321d1743780294,2024-12-24 07:00:00,1.115
db411f5ca692321d1743780294,2024-12-24 08:00:00,1.752
db411f5ca692321d1743780294,2024-12-24 09:00:00,1.334
db411f5ca692321d1743780294,2024-12-24 10:00:00,1.176
db411f5ca692321d1743780294,2024-12-24 11:00:00,1.241
db411f5ca692321d1743780294,2024-12-24 12:00:00,1.36
db411f5ca692321d1743780294,2024-12-24 13:00:00,1.532
db411f5ca692321d1743780294,2024-12-24 14:00:00,1.894
db411f5ca692321d1743780294,2024-12-24 15:00:00,2.28
db411f5ca692321d1743780294,2024-12-24 16:00:00,1.832
db411f5ca692321d1743780294,2024-12-24 17:00:00,2.623
db411f5ca692321d1743780294,2024-12-24 18:00:00,1.943
db411f5ca692321d1743780294,2024-12-24 19:00:00,2.061
db411f5ca692321d1743780294,2024-12-24 20:00:00,1.542
db411f5ca692321d1743780294,2024-12-24 21:00:00,2.592
db411f5ca692321d1743780294,2024-12-24 22:00:00,2.968
db411f5ca692321d1743780294,2024-12-24 23:00:00,2.695
44e2cb4caa1616d61743847885,2024-12-24 00:00:00,1.053
44e2cb4caa1616d61743847885,2024-12-24 01:00:00,1.968
44e2cb4caa1616d61743847885,2024-12-24 02:00:00,0.542
44e2cb4caa1616d61743847885,2024-12-24 03:00:00,1.287
44e2cb4caa1616d61743847885,2024-12-24 04:00:00,0.921
44e2cb4caa1616d61743847885,2024-12-24 05:00:00,0.798
44e2cb4caa1616d61743847885,2024-12-24 06:00:00,2.023
